"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"HSPE1",5.42189850328501e-125,0.348435767601456,0.873,0.85,1.25609122625604e-120,"0"
"EIF4A1",1.04870024876564e-124,0.331322290266867,0.586,0.437,2.42952386631535e-120,"0"
"PLEK",2.72075436470612e-124,-0.966683787751399,0.236,0.228,6.30317163671468e-120,"0"
"SESN3",3.50402313224159e-124,-0.307681029788999,0.107,0.247,8.11777039046409e-120,"0"
"ABCA1",5.98111949815387e-124,-0.278288902072282,0.024,0.121,1.38564595413731e-119,"0"
"BRI3",1.19902034897098e-123,-0.392202411425986,0.139,0.269,2.77777044246108e-119,"0"
"EPS8",1.6000953871699e-122,0.264346112683826,0.293,0.147,3.70694098345652e-118,"0"
"TNFAIP3",1.69607668032456e-122,-0.776556816466556,0.57,0.671,3.9293008453079e-118,"0"
"TSC22D3",3.70403081042844e-122,-0.543239777339905,0.618,0.747,8.58112817851957e-118,"0"
"CD37",5.59828177972379e-122,-0.574704551255875,0.589,0.655,1.29695393990861e-117,"0"
"DUSP2",2.17569159331716e-120,0.476335591566106,0.654,0.556,5.04042471423787e-116,"0"
"TAGLN2",1.07437398161082e-119,-0.392176000592588,0.409,0.56,2.4890022031978e-115,"0"
"CALM1",1.32803917594753e-119,0.274244468619377,0.97,0.953,3.07666835891764e-115,"0"
"SNX3",1.68554085534916e-119,-0.299817788501021,0.197,0.348,3.9048924995874e-115,"0"
"NMRK1",2.35515186266633e-119,0.252562062843601,0.283,0.145,5.4561803202391e-115,"0"
"CTLA4",2.63470669859948e-119,-0.369991718868352,0.028,0.12,6.10382500864541e-115,"0"
"ACSL1",6.09643208285922e-119,-0.433378570321206,0.022,0.108,1.412360420636e-114,"0"
"NR4A3",8.09300050154923e-119,-0.403552106781221,0.115,0.251,1.87490542619391e-114,"0"
"POLG2",2.4196422268065e-118,0.276178350256558,0.277,0.141,5.60558514684262e-114,"0"
"TIMP1",5.61318026382346e-118,-0.838803877096117,0.068,0.177,1.30040547171998e-113,"0"
"BIRC3",2.87675359691839e-117,-0.494590111082586,0.426,0.592,6.66457505798083e-113,"0"
"ITGB2",2.66882618294089e-116,0.273008802625682,0.529,0.354,6.18286961801916e-112,"0"
"CSRNP1",7.30470220016404e-116,-0.365684057902592,0.156,0.298,1.692280358712e-111,"0"
"ASAH1",2.95076792402726e-115,-0.380679403541391,0.111,0.231,6.83604404959396e-111,"0"
"SOX4",1.08516504161942e-114,-0.332634228833526,0.02,0.11,2.51400185191971e-110,"0"
"TMEM154",1.09883195771694e-114,-0.344005942404888,0.1,0.219,2.54566399644283e-110,"0"
"FOSL2",1.28320580956418e-114,-0.374518263885833,0.167,0.295,2.97280289901735e-110,"0"
"IGHA1",3.67665646681671e-114,-1.81191173661552,0.017,0.103,8.51771003667427e-110,"0"
"ZBTB10",1.9493597636498e-113,-0.317533724851162,0.099,0.231,4.51608176444748e-109,"0"
"TPM4",3.89189165493025e-113,-0.426756182518615,0.276,0.416,9.01634539697691e-109,"0"
"FNDC3B",4.84739034465847e-112,-0.311692440483684,0.049,0.146,1.12299492114703e-107,"0"
"EIF5",8.10674751668576e-112,0.259755112042551,0.779,0.764,1.87809019719059e-107,"0"
"RNASET2",1.61571254436684e-111,-0.325094104560785,0.289,0.436,3.74312125153466e-107,"0"
"NFKB1",1.14865518611066e-110,-0.347446663312339,0.165,0.301,2.66108946966258e-106,"0"
"COQ7",1.82679137408173e-110,0.279089242845298,0.312,0.176,4.23212757633514e-106,"0"
"FOS",2.18287937928795e-110,0.347738727632514,0.929,0.866,5.05707665799639e-106,"0"
